doc_uid,issuer,bucket,product_name,zip_path,quarter,sha256,size_bytes,page_count,total_chars,is_scanned
1st_united_credit_union__application_solicitation_disclosure_cc_10_1_22__335908,1ST UNITED CREDIT UNION,credit_union,Application Solicitation Disclosure CC 10.1.22,1ST UNITED CREDIT UNION/Application_Solicitation_Disclosure_CC_10.1.22.pdf-335908.pdf,2026-Q1,3c6c0c1ba7c3ac2399945ab380c8788e97b44e9cfb25818179cd7ed720201999,190230,2,4623,False
1st_united_credit_union__application_and_solicitation_disclosure__480743,1ST UNITED CREDIT UNION,credit_union,Application and Solicitation Disclosure,1ST UNITED CREDIT UNION/Application and Solicitation Disclosure.pdf-480743.pdf,2026-Q1,a3d2801583a180f53a7eadc624367f7fe28a841c0b669952530b83af93475b45,656911,2,0,True
1st_united_credit_union__application_and_solicitation_disclosure__393925,1ST UNITED CREDIT UNION,credit_union,Application and Solicitation Disclosure,1ST UNITED CREDIT UNION/Application and Solicitation Disclosure.pdf-393925.pdf,2026-Q1,8a61f5f33c1243f6bfd8333ed45000a2954e4c417d231b6d3af777d45a2e9131,222374,2,4620,False
1st_united_credit_union__consumer_credit_card_application_and_solicitation_disclosure__265625,1ST UNITED CREDIT UNION,credit_union,Consumer Credit Card Application and Solicitation Disclosure,1ST UNITED CREDIT UNION/Consumer Credit Card Application and Solicitation Disclosure.pdf-265625.pdf,2026-Q1,4d1638dcee10f846aabf7b76f7325a1e0482617100d95f4236871eb17bb4bfd3,264495,2,4980,False
1st_united_credit_union__credit_card_agreement_and_disclosure__393925,1ST UNITED CREDIT UNION,credit_union,Credit Card Agreement and Disclosure,1ST UNITED CREDIT UNION/Credit Card Agreement and Disclosure.pdf-393925.pdf,2026-Q1,219a16f57e16c8e40267ea94307a27fedafc55cb39a7b8b18da1bcdc76080f30,535940,6,30253,False
alliant_credit_union__platinumrewards_programtermsconditions052017__269955,ALLIANT CREDIT UNION,credit_union,PlatinumRewards ProgramTermsConditions052017,ALLIANT CREDIT UNION/PlatinumRewards-ProgramTermsConditions052017.pdf-269955.pdf,2026-Q1,65afe84ad03e99f2e54e5eb926154b2c9d2d59dfd91871da6de3c95e2bc4eb19,485395,1,5963,False
alliant_credit_union__visacreditcarddisclosure__255585,ALLIANT CREDIT UNION,credit_union,VisaCreditCardDisclosure,ALLIANT CREDIT UNION/VisaCreditCardDisclosure.pdf-255585.pdf,2026-Q1,5bae27f180a6c7433ca56c7238de21d54c55540f756d33eb051b25063352b7ab,1291335,2,13514,False
alliant_credit_union__visacreditcarddisclosure102023__269955,ALLIANT CREDIT UNION,credit_union,VisaCreditCardDisclosure102023,ALLIANT CREDIT UNION/VisaCreditCardDisclosure102023.pdf-269955.pdf,2026-Q1,e89a095751a4ecd8035cfc85ca0a6b83460b1c27ad7a0c051b8a4e6db958460a,1313608,2,13459,False
alliant_credit_union__visasignaturecreditcarddisclosure__255587,ALLIANT CREDIT UNION,credit_union,VisaSignatureCreditCardDisclosure,ALLIANT CREDIT UNION/VisaSignatureCreditCardDisclosure.pdf-255587.pdf,2026-Q1,c18fb3ee63a1c020a234d6175181658efb216240d455f66d828e31e365f667ba,949937,2,12673,False
alliant_credit_union__visasignaturecreditcarddisclosure102023__269946,ALLIANT CREDIT UNION,credit_union,VisaSignatureCreditCardDisclosure102023,ALLIANT CREDIT UNION/VisaSignatureCreditCardDisclosure102023.pdf-269946.pdf,2026-Q1,6fa4089a25a6728407d120e8c2cd5725402c5ef8515254da2c5eaaa25075347b,1025588,2,12664,False
elga_credit_union__9_9_copoco_uchoose_rewards__581633,ELGA CREDIT UNION,credit_union,9.9 COPOCO  UChoose Rewards,ELGA CREDIT UNION/9.9 COPOCO -UChoose Rewards.pdf-581633.pdf,2026-Q1,26d766991732dd936b30e5d9b31cd8539e6ce28ac88ecb80f53c32ecda797ac4,2319993,5,0,True
elga_credit_union__a_13_75_visa_cash_back_acct_disclosures_elgacu_01_01_26__597624,ELGA CREDIT UNION,credit_union,A+ 13.75   VISA Cash Back ACCT Disclosures   ELGACU   01 01 26,ELGA CREDIT UNION/A+-13.75 - VISA Cash Back ACCT Disclosures - ELGACU - 01-01-26.pdf-597624.pdf,2026-Q1,6558193538daa34691878ab175d76fb4b544512335dcc6a2d4f3641692c85cab,453202,1,2435,False
elga_credit_union__d_19_75_visa_cash_back_acct_disclosures_elgacu_01_01_26__597629,ELGA CREDIT UNION,credit_union,D 19.75   VISA Cash Back ACCT Disclosures   ELGACU   01 01 26,ELGA CREDIT UNION/D-19.75 - VISA Cash Back ACCT Disclosures - ELGACU - 01-01-26.pdf-597629.pdf,2026-Q1,264415567b888370577ed6e427a57b9381db41fadf3f775edab5b4e21018b856,453976,1,2435,False
elga_credit_union__d_19_75_visa_rewards_acct_disclosures_elgacu_01_01_26__597635,ELGA CREDIT UNION,credit_union,D 19.75   VISA Rewards ACCT Disclosures   ELGACU   01 01 26,ELGA CREDIT UNION/D-19.75 - VISA Rewards ACCT Disclosures - ELGACU - 01-01-26.pdf-597635.pdf,2026-Q1,d50e0cd97c016b26428b539be9c6cf16c2c6400299628b6aa4439a28bbe3f33c,453885,1,2432,False
elga_credit_union__rr_4_14_75_visa_business_acct_disclosures_elgacu_01_01_26__597646,ELGA CREDIT UNION,credit_union,RR 4 14.75   VISA Business ACCT Disclosures   ELGACU   01 01 26,ELGA CREDIT UNION/RR 4-14.75 - VISA Business ACCT Disclosures - ELGACU - 01-01-26.pdf-597646.pdf,2026-Q1,ea3ccb80ad7acd434c3e36b93661e2f3267139205dc27f4845891d5816f6044a,453149,1,2432,False
fibre_federal_credit_union__solicitation_agreement_visa_line_of_credit_pricing_information__271317,FIBRE FEDERAL CREDIT UNION,credit_union,Solicitation agreement Visa Line of Credit Pricing Information,FIBRE FEDERAL CREDIT UNION/Solicitation agreement Visa-Line-of-Credit-Pricing-Information.pdf-271317.pdf,2026-Q1,9d1bbcab4bd661546305bde15ae1d4a9ec492349af47c222854b5d1c526a6ef9,1576678,2,3226,False
fibre_federal_credit_union__visa_agreement_and_disclosure__271317,FIBRE FEDERAL CREDIT UNION,credit_union,Visa Agreement and Disclosure,FIBRE FEDERAL CREDIT UNION/Visa-Agreement-and-Disclosure.pdf-271317.pdf,2026-Q1,255ee4060be79c6ef2f85c04510f3add98552d6127f88177ee08c910d65df200,1444502,5,26746,False
fibre_federal_credit_union__visa_agreement_and_disclosure_10_20_21__342286,FIBRE FEDERAL CREDIT UNION,credit_union,Visa Agreement and Disclosure 10 20 21,FIBRE FEDERAL CREDIT UNION/Visa Agreement and Disclosure 10-20-21.pdf-342286.pdf,2026-Q1,da4ced696488f0de42cbc649cf7d8cbfa76a8798e0ae423898cd9402ed5ccbef,157227,5,26746,False
fibre_federal_credit_union__visa_credit_card_agreement_and_disclosure__256428,FIBRE FEDERAL CREDIT UNION,credit_union,Visa Credit Card Agreement and Disclosure,FIBRE FEDERAL CREDIT UNION/Visa Credit Card Agreement and Disclosure.pdf-256428.pdf,2026-Q1,50050853bb597a5d065c60b1cd8c6212c31c28d79ba67b3189b8d33eed7d7a5a,154386,6,26951,False
fibre_federal_credit_union__visa_credit_card_statement__462298,FIBRE FEDERAL CREDIT UNION,credit_union,visa Credit Card Statement,FIBRE FEDERAL CREDIT UNION/visa-Credit-Card-Statement.pdf-462298.pdf,2026-Q1,8e5ce127b2539e28c0833f30347bb8246c72c1d2d7b0504e56239d6a0da6820d,723532,1,3449,False
